Date,MaxTemp,Rainfall
2008-12-01,22.9,0.6
2008-12-02,25.1,0.0
2008-12-03,25.7,0.0
2008-12-04,28.0,0.0
2008-12-05,32.3,1.0
2008-12-06,29.7,0.2
2008-12-07,25.0,0.0
2008-12-08,26.7,0.0
2008-12-09,31.9,0.0
2008-12-10,30.1,1.4
2008-12-11,30.4,0.0
2008-12-12,21.7,2.2
2008-12-13,18.6,15.6
2008-12-14,21.0,3.6
2008-12-15,24.6,0.0
2008-12-17,20.9,0.0
2008-12-18,22.9,16.8
2008-12-19,22.5,10.6
2008-12-20,25.6,0.0
2008-12-21,29.3,0.0
2008-12-22,33.0,0.0
2008-12-23,31.8,0.0
2008-12-24,30.9,0.0
2008-12-25,32.4,0.0
2008-12-26,33.9,0.0
2008-12-27,33.0,0.0
2008-12-28,32.7,0.0
2008-12-29,27.2,0.0
2008-12-30,24.2,1.2
2008-12-31,24.4,0.8
2009-01-01,26.5,0.0
2009-01-02,23.9,0.0
2009-01-03,28.8,0.0
2009-01-04,34.6,0.0
2009-01-05,35.8,0.0
2009-01-06,37.9,0.0
2009-01-07,38.9,0.0
2009-01-08,28.3,0.0
2009-01-09,28.4,0.0
2009-01-10,30.8,0.0
2009-01-11,32.0,0.0
2009-01-12,34.7,0.0
2009-01-13,37.7,0.0
2009-01-14,43.0,0.0
2009-01-15,32.7,0.0
2009-01-16,26.7,0.0
2009-01-17,28.4,0.0
2009-01-18,32.2,0.0
2009-01-19,36.6,0.0
2009-01-20,39.9,0.0
2009-01-21,38.1,0.8
2009-01-22,34.0,0.6
2009-01-23,35.2,6.4
2009-01-24,30.6,0.0
2009-01-25,34.3,0.0
2009-01-26,38.4,0.0
2009-01-27,38.2,0.0
2009-01-28,40.7,0.0
2009-01-29,41.5,0.0
2009-01-30,42.9,0.0
2009-01-31,42.7,0.0
2009-02-01,43.1,0.0
2009-02-02,38.3,0.2
2009-02-03,37.7,0.0
2009-02-04,36.9,0.0
2009-02-05,41.2,0.0
2009-02-06,42.2,0.0
